image_number,day1,day2,day3,day4
1,229.44,231.09,236.16,226.36
2,229.31,233.59,223.62,215.45
3,232.21,217.25,229.97,223.71
4,236.02,236.44,235.69,232.72
5,239.11,224.29,242.16,231.19
6,236.82,234.24,239.55,226.92
7,241.91,241.80,241.50,239.67
8,237.11,239.41,242.19,231.55
9,242.10,239.21,241.36,235.73
10,241.97,240.71,243.72,236.93
11,240.09,239.90,238.49,237.46
12,240.48,239.07,241.02,238.05
13,240.41,236.42,241.13,240.54
14,239.56,238.54,237.31,236.35
15,237.45,238.02,236.33,236.24
16,234.42,234.93,230.77,210.08
