Timestamp,Please rate the freshness according to the following picture. [2],Please rate the freshness according to the following picture. [8],Please rate the freshness according to the following picture. [10],Please rate the freshness according to the following picture. [16],Please rate the freshness according to the following picture. [1],Please rate the freshness according to the following picture. [6],Please rate the freshness according to the following picture. [9],Please rate the freshness according to the following picture. [12],Please rate the freshness according to the following picture. [3],Please rate the freshness according to the following picture. [5],Please rate the freshness according to the following picture. [7],Please rate the freshness according to the following picture. [13],Please rate the freshness according to the following picture. [4],Please rate the freshness according to the following picture. [11],Please rate the freshness according to the following picture. [14],Please rate the freshness according to the following picture. [15],Please rate the freshness according to the following picture. [2],Please rate the freshness according to the following picture. [8],Please rate the freshness according to the following picture. [10],Please rate the freshness according to the following picture. [16],Please rate the freshness according to the following picture. [1],Please rate the freshness according to the following picture. [6],Please rate the freshness according to the following picture. [9],Please rate the freshness according to the following picture. [12],Please rate the freshness according to the following picture. [3],Please rate the freshness according to the following picture. [5],Please rate the freshness according to the following picture. [7],Please rate the freshness according to the following picture. [13],Please rate the freshness according to the following picture. [4],Please rate the freshness according to the following picture. [11],Please rate the freshness according to the following picture. [14],Please rate the freshness according to the following picture. [15],Please rate the freshness according to the following picture. [2],Please rate the freshness according to the following picture. [8],Please rate the freshness according to the following picture. [10],Please rate the freshness according to the following picture. [16],Please rate the freshness according to the following picture. [1],Please rate the freshness according to the following picture. [6],Please rate the freshness according to the following picture. [9],Please rate the freshness according to the following picture. [12],Please rate the freshness according to the following picture. [3],Please rate the freshness according to the following picture. [5],Please rate the freshness according to the following picture. [7],Please rate the freshness according to the following picture. [13],Please rate the freshness according to the following picture. [4],Please rate the freshness according to the following picture. [11],Please rate the freshness according to the following picture. [14],Please rate the freshness according to the following picture. [15],Please rate the freshness according to the following picture. [2],Please rate the freshness according to the following picture. [8],Please rate the freshness according to the following picture. [10],Please rate the freshness according to the following picture. [16],Please rate the freshness according to the following picture. [1],Please rate the freshness according to the following picture. [6],Please rate the freshness according to the following picture. [9],Please rate the freshness according to the following picture. [12],Please rate the freshness according to the following picture. [3],Please rate the freshness according to the following picture. [5],Please rate the freshness according to the following picture. [7],Please rate the freshness according to the following picture. [13],Please rate the freshness according to the following picture. [4],Please rate the freshness according to the following picture. [11],Please rate the freshness according to the following picture. [14],Please rate the freshness according to the following picture. [15],Please rate the freshness according to the following picture. [2],Please rate the freshness according to the following picture. [8],Please rate the freshness according to the following picture. [10],Please rate the freshness according to the following picture. [16],Please rate the freshness according to the following picture. [1],Please rate the freshness according to the following picture. [6],Please rate the freshness according to the following picture. [9],Please rate the freshness according to the following picture. [12],Please rate the freshness according to the following picture. [4],Please rate the freshness according to the following picture. [11],Please rate the freshness according to the following picture. [14],Please rate the freshness according to the following picture. [15],Please rate the freshness according to the following picture. [3],Please rate the freshness according to the following picture. [5],Please rate the freshness according to the following picture. [7],Please rate the freshness according to the following picture. [13]
10/29/2025 0:44:40,4 slight wilt,4 slight wilt,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,4 slight wilt,5 fresh,5 fresh,4 slight wilt,4 slight wilt,3 mid wilt,4 slight wilt,2 severe wilt,3 mid wilt,5 fresh,4 slight wilt,5 fresh,5 fresh,4 slight wilt,3 mid wilt,3 mid wilt,4 slight wilt,5 fresh,5 fresh,4 slight wilt,5 fresh,3 mid wilt,3 mid wilt,1 collapse,1 collapse,5 fresh,4 slight wilt,5 fresh,5 fresh,4 slight wilt,3 mid wilt,3 mid wilt,2 severe wilt,5 fresh,5 fresh,5 fresh,4 slight wilt,2 severe wilt,2 severe wilt,1 collapse,3 mid wilt,5 fresh,4 slight wilt,5 fresh,5 fresh,3 mid wilt,3 mid wilt,2 severe wilt,2 severe wilt,5 fresh,4 slight wilt,5 fresh,4 slight wilt,1 collapse,1 collapse,0 dead,0 dead,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,2 severe wilt,2 severe wilt,2 severe wilt,1 collapse,0 dead,0 dead,0 dead,5 fresh,4 slight wilt,5 fresh,4 slight wilt
10/29/2025 8:38:58,5 fresh,5 fresh,4 slight wilt,5 fresh,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,4 slight wilt,4 slight wilt
10/29/2025 9:56:59,5 fresh,5 fresh,4 slight wilt,5 fresh,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,5 fresh,5 fresh,3 mid wilt,2 severe wilt,2 severe wilt,3 mid wilt,4 slight wilt,4 slight wilt,5 fresh,5 fresh,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,4 slight wilt,4 slight wilt,4 slight wilt,5 fresh,3 mid wilt,3 mid wilt,3 mid wilt,2 severe wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,2 severe wilt,1 collapse,1 collapse,2 severe wilt,5 fresh,4 slight wilt,5 fresh,5 fresh,2 severe wilt,1 collapse,1 collapse,1 collapse,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,0 dead,0 dead,0 dead,0 dead,5 fresh,5 fresh,5 fresh,5 fresh,2 severe wilt,2 severe wilt,2 severe wilt,2 severe wilt,1 collapse,0 dead,0 dead,0 dead,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt
10/29/2025 10:05:47,4 slight wilt,4 slight wilt,5 fresh,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,5 fresh,5 fresh,5 fresh,5 fresh,3 mid wilt,2 severe wilt,2 severe wilt,2 severe wilt,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,3 mid wilt,2 severe wilt,2 severe wilt,2 severe wilt,2 severe wilt,3 mid wilt,4 slight wilt,4 slight wilt,3 mid wilt,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,1 collapse,1 collapse,1 collapse,1 collapse,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,2 severe wilt,2 severe wilt,2 severe wilt,2 severe wilt,5 fresh,5 fresh,5 fresh,4 slight wilt
10/29/2025 10:13:10,3 mid wilt,3 mid wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,3 mid wilt,2 severe wilt,2 severe wilt,2 severe wilt,4 slight wilt,2 severe wilt,3 mid wilt,4 slight wilt,2 severe wilt,2 severe wilt,1 collapse,1 collapse,5 fresh,5 fresh,4 slight wilt,3 mid wilt,2 severe wilt,1 collapse,2 severe wilt,1 collapse,5 fresh,4 slight wilt,4 slight wilt,5 fresh,3 mid wilt,3 mid wilt,2 severe wilt,2 severe wilt,5 fresh,5 fresh,4 slight wilt,3 mid wilt,1 collapse,1 collapse,1 collapse,0 dead,4 slight wilt,3 mid wilt,3 mid wilt,4 slight wilt,2 severe wilt,3 mid wilt,2 severe wilt,2 severe wilt,4 slight wilt,3 mid wilt,3 mid wilt,3 mid wilt,0 dead,0 dead,0 dead,1 collapse,3 mid wilt,4 slight wilt,4 slight wilt,3 mid wilt,2 severe wilt,2 severe wilt,1 collapse,1 collapse,1 collapse,1 collapse,0 dead,0 dead,5 fresh,5 fresh,4 slight wilt,4 slight wilt
10/29/2025 10:13:23,5 fresh,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,5 fresh,4 slight wilt,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,5 fresh,5 fresh,5 fresh,5 fresh,3 mid wilt,2 severe wilt,2 severe wilt,2 severe wilt,5 fresh,5 fresh,5 fresh,5 fresh,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,5 fresh,5 fresh,2 severe wilt,1 collapse,2 severe wilt,2 severe wilt,5 fresh,5 fresh,5 fresh,5 fresh,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,2 severe wilt,0 dead,0 dead,0 dead,5 fresh,5 fresh,5 fresh,5 fresh
10/29/2025 10:14:44,5 fresh,5 fresh,5 fresh,5 fresh,5 fresh,5 fresh,5 fresh,5 fresh,5 fresh,5 fresh,5 fresh,5 fresh,3 mid wilt,4 slight wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,5 fresh,5 fresh,5 fresh,5 fresh,2 severe wilt,1 collapse,1 collapse,1 collapse,5 fresh,5 fresh,5 fresh,5 fresh,4 slight wilt,4 slight wilt,2 severe wilt,3 mid wilt,5 fresh,5 fresh,5 fresh,5 fresh,1 collapse,1 collapse,0 dead,0 dead,5 fresh,5 fresh,5 fresh,5 fresh,1 collapse,1 collapse,1 collapse,1 collapse,5 fresh,5 fresh,5 fresh,5 fresh,0 dead,2 severe wilt,2 severe wilt,2 severe wilt,5 fresh,4 slight wilt,5 fresh,5 fresh,3 mid wilt,3 mid wilt,1 collapse,2 severe wilt,0 dead,0 dead,0 dead,0 dead,5 fresh,5 fresh,5 fresh,4 slight wilt
10/29/2025 10:39:29,5 fresh,3 mid wilt,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,4 slight wilt,5 fresh,5 fresh,4 slight wilt,5 fresh,2 severe wilt,2 severe wilt,2 severe wilt,2 severe wilt,4 slight wilt,3 mid wilt,3 mid wilt,4 slight wilt,3 mid wilt,2 severe wilt,2 severe wilt,3 mid wilt,5 fresh,4 slight wilt,4 slight wilt,5 fresh,3 mid wilt,2 severe wilt,2 severe wilt,3 mid wilt,5 fresh,3 mid wilt,4 slight wilt,5 fresh,1 collapse,0 dead,0 dead,1 collapse,5 fresh,4 slight wilt,4 slight wilt,4 slight wilt,1 collapse,0 dead,0 dead,1 collapse,5 fresh,3 mid wilt,3 mid wilt,4 slight wilt,1 collapse,1 collapse,1 collapse,1 collapse,5 fresh,5 fresh,4 slight wilt,5 fresh,1 collapse,1 collapse,1 collapse,1 collapse,4 slight wilt,3 mid wilt,4 slight wilt,4 slight wilt,2 severe wilt,1 collapse,1 collapse,2 severe wilt,2 severe wilt,2 severe wilt,2 severe wilt,2 severe wilt,5 fresh,3 mid wilt,4 slight wilt,4 slight wilt
10/29/2025 11:20:44,5 fresh,3 mid wilt,5 fresh,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,4 slight wilt,3 mid wilt,4 slight wilt,5 fresh,3 mid wilt,3 mid wilt,3 mid wilt,3 mid wilt,5 fresh,5 fresh,3 mid wilt,4 slight wilt,2 severe wilt,2 severe wilt,1 collapse,2 severe wilt,3 mid wilt,4 slight wilt,4 slight wilt,5 fresh,3 mid wilt,3 mid wilt,2 severe wilt,2 severe wilt,4 slight wilt,5 fresh,4 slight wilt,3 mid wilt,4 slight wilt,2 severe wilt,1 collapse,2 severe wilt,4 slight wilt,3 mid wilt,5 fresh,5 fresh,2 severe wilt,2 severe wilt,1 collapse,1 collapse,5 fresh,4 slight wilt,4 slight wilt,3 mid wilt,0 dead,2 severe wilt,1 collapse,1 collapse,3 mid wilt,3 mid wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,2 severe wilt,2 severe wilt,2 severe wilt,2 severe wilt,0 dead,0 dead,5 fresh,5 fresh,3 mid wilt,3 mid wilt
10/29/2025 11:20:44,5 fresh,2 severe wilt,4 slight wilt,5 fresh,3 mid wilt,3 mid wilt,2 severe wilt,3 mid wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,2 severe wilt,3 mid wilt,4 slight wilt,2 severe wilt,3 mid wilt,2 severe wilt,2 severe wilt,4 slight wilt,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,2 severe wilt,0 dead,0 dead,0 dead,4 slight wilt,3 mid wilt,4 slight wilt,5 fresh,2 severe wilt,2 severe wilt,1 collapse,1 collapse,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,2 severe wilt,2 severe wilt,1 collapse,1 collapse,4 slight wilt,4 slight wilt,4 slight wilt,4 slight wilt,0 dead,0 dead,0 dead,0 dead,4 slight wilt,4 slight wilt,3 mid wilt,3 mid wilt,1 collapse,1 collapse,0 dead,0 dead,3 mid wilt,3 mid wilt,4 slight wilt,4 slight wilt,0 dead,0 dead,0 dead,0 dead,0 dead,0 dead,0 dead,0 dead,4 slight wilt,4 slight wilt,3 mid wilt,2 severe wilt
