image_number,day0,day1,day2,day3,day4,day5
1,26.24,26.16,25.79,25.46,26.12,25.87
2,26.48,25.75,27.58,26.04,25.43,25.74
3,25.79,25.85,26.06,26.24,25.78,26.70
4,26.00,25.65,25.67,25.76,26.28,25.44
5,25.60,25.46,24.96,25.24,25.37,25.49
6,25.87,25.28,24.86,24.79,25.04,25.02
7,26.30,25.45,25.30,24.80,25.78,25.23
8,26.94,26.42,26.90,25.41,24.10,26.35
9,26.12,26.50,25.42,24.82,25.26,25.20
10,26.06,25.53,25.58,24.52,23.78,25.88
11,25.03,25.03,24.18,24.79,25.23,25.12
12,25.67,25.54,25.54,25.34,25.69,24.89
13,26.34,26.02,26.35,25.89,26.05,25.19
14,25.36,25.41,24.60,24.13,24.83,24.67
15,26.59,26.28,25.48,25.71,25.57,25.25
16,25.62,26.05,25.34,25.32,25.74,26.17
