image_number,day0,day1,day2,day3,day4,day5
1,194.04,176.48,182.09,187.54,177.84,179.89
2,164.80,179.34,155.89,192.34,203.68,189.67
3,181.88,190.59,192.42,182.39,195.61,188.03
4,194.81,181.85,188.73,182.83,182.46,182.72
5,192.18,179.60,190.77,181.42,188.62,190.63
6,183.65,176.16,182.47,190.34,181.18,169.45
7,163.53,170.30,169.77,174.65,169.50,169.87
8,155.03,177.89,162.16,181.36,186.14,165.13
9,161.08,173.87,167.21,175.23,179.83,172.17
10,161.41,183.39,174.27,194.98,189.17,172.44
11,170.42,188.23,191.66,180.04,176.72,181.16
12,165.73,184.02,177.80,180.75,182.37,179.80
13,155.89,170.68,183.96,170.97,167.21,168.91
14,168.41,181.65,180.80,175.90,171.28,170.94
15,166.86,168.01,177.31,159.25,165.26,166.22
16,174.75,173.95,183.30,194.86,202.41,176.81
