image_number,day0,day1,day2,day3,day4,day5
1,179.24,165.09,171.93,174.98,169.24,171.26
2,154.88,168.61,148.26,180.35,191.66,177.41
3,168.37,177.43,181.17,170.74,183.31,177.53
4,178.36,170.09,177.86,172.70,175.13,173.00
5,176.23,166.51,177.03,166.96,176.19,177.50
6,168.65,163.55,168.95,175.08,169.66,158.06
7,153.71,158.96,158.14,161.43,159.34,159.75
8,145.81,169.06,154.73,168.61,173.10,156.17
9,150.74,163.95,155.76,160.84,169.09,161.88
10,149.37,170.29,162.79,179.92,175.93,161.80
11,155.50,174.37,177.21,167.70,168.24,171.38
12,153.95,172.84,167.53,170.26,174.00,169.15
13,146.77,162.92,173.62,161.16,158.05,158.93
14,156.45,169.80,167.88,163.70,161.40,161.50
15,156.96,161.01,167.80,151.74,158.26,158.64
16,161.90,163.60,172.09,179.23,190.27,166.17
