image_number,day0,day1,day2,day3,day4,day5
1,123.13,125.07,124.89,125.41,124.54,124.38
2,123.74,125.19,124.02,124.43,124.39,124.48
3,124.39,125.17,124.41,124.57,124.49,123.26
4,124.36,125.36,124.89,124.67,123.70,124.80
5,124.75,126.11,126.13,126.19,125.58,125.28
6,125.01,126.05,126.36,126.39,125.95,126.25
7,124.99,125.74,126.06,126.36,125.16,125.34
8,125.11,124.37,124.43,125.52,127.00,124.17
9,125.71,124.23,125.98,126.87,125.75,125.66
10,126.05,125.51,125.85,126.52,127.15,124.75
11,127.43,126.32,126.85,126.33,125.62,125.25
12,125.87,125.44,125.22,125.23,124.61,125.69
13,124.94,124.34,124.57,124.61,124.56,125.15
14,125.86,125.63,126.51,126.77,125.94,125.75
15,124.35,124.25,125.34,124.91,124.57,124.96
16,124.54,124.82,125.56,126.07,124.33,124.53
