image_number,day0,day1,day2,day3,day4,day5
1,185.63,168.32,166.27,169.64,164.23,164.66
2,176.10,166.36,167.07,167.90,167.94,170.11
3,180.31,169.69,168.72,169.48,170.73,170.35
4,185.52,166.85,166.17,164.73,162.91,163.31
5,184.37,168.16,168.34,170.18,168.31,170.17
6,180.90,167.55,167.71,171.24,166.35,165.54
7,170.16,166.19,165.71,167.88,165.74,166.32
8,168.06,164.29,161.54,167.41,163.50,164.50
9,169.29,167.41,164.81,167.94,164.70,163.54
10,172.26,168.71,165.76,168.84,163.86,167.25
11,175.46,166.14,165.06,163.60,159.51,161.63
12,172.88,164.71,163.58,164.04,162.46,163.95
13,170.05,164.21,167.36,166.96,166.69,166.97
14,173.55,165.28,164.57,162.13,160.59,159.63
15,171.97,161.15,161.70,160.75,159.65,159.75
16,179.65,167.78,165.95,172.68,168.43,168.28
