image_number,day0,day1,day2,day3,day4,day5
1,48.16,76.81,88.16,82.87,90.42,91.62
2,46.73,85.26,60.86,94.94,105.93,86.48
3,49.29,86.02,93.10,79.81,90.18,85.35
4,46.62,85.40,94.35,93.60,100.58,97.65
5,48.48,77.41,89.49,74.19,87.31,84.72
6,48.81,76.88,81.99,79.44,86.19,76.24
7,60.89,75.40,76.00,74.66,76.74,76.53
8,58.38,90.27,81.85,83.58,95.91,78.29
9,60.11,77.70,76.33,74.37,89.66,86.27
10,51.92,82.16,79.90,90.89,97.55,77.25
11,49.50,92.03,98.26,92.41,101.11,100.86
12,54.75,92.79,90.69,92.55,99.91,92.08
13,54.26,83.63,86.55,75.96,73.31,74.29
14,55.98,89.10,90.17,92.28,93.57,96.04
15,59.45,89.66,95.57,82.52,91.85,92.50
16,45.69,76.26,88.80,81.22,103.43,78.21
