image_number,day0,day1,day2,day3,day4,day5
1,173.45,158.12,165.21,168.08,162.96,164.96
2,148.02,161.60,141.23,174.80,186.54,171.38
3,161.57,170.82,174.88,164.33,177.04,172.04
4,171.77,163.43,171.62,166.56,169.39,167.03
5,169.07,159.29,169.91,160.01,169.25,170.78
6,161.42,156.50,161.83,168.10,162.42,150.67
7,146.18,151.91,150.95,154.34,152.47,152.68
8,138.07,162.27,148.41,162.26,166.15,150.04
9,142.70,157.66,148.91,153.23,162.06,154.93
10,141.23,163.27,155.55,172.99,168.83,155.04
11,146.34,167.81,170.40,160.73,161.40,164.74
12,145.71,166.12,161.07,163.71,167.90,162.10
13,139.05,156.06,167.01,154.66,151.14,151.86
14,148.17,163.32,160.94,156.83,154.61,155.07
15,149.99,154.64,161.15,145.03,151.99,152.05
16,154.67,156.60,164.94,172.07,185.28,159.80
