image_number,day0,day1,day2,day3,day4,day5
1,193.69,175.43,181.51,186.99,177.24,179.24
2,164.40,178.57,154.66,191.61,203.38,188.81
3,181.64,189.71,191.61,181.35,194.74,186.87
4,194.43,181.20,188.24,182.06,181.84,182.20
5,191.95,178.95,190.23,180.82,187.98,189.82
6,183.12,175.60,182.03,189.97,180.79,168.91
7,162.88,169.60,169.19,174.28,168.64,169.40
8,153.81,176.55,161.00,180.69,185.70,163.74
9,160.33,172.75,166.53,174.56,179.37,171.54
10,160.71,182.41,173.56,194.56,188.87,171.43
11,169.95,187.64,191.22,179.33,176.24,180.35
12,165.12,183.12,177.05,180.03,181.92,179.20
13,155.24,169.82,182.88,170.24,166.23,168.51
14,167.98,181.01,180.40,175.47,170.75,170.47
15,166.11,167.06,176.64,158.46,164.47,165.48
16,174.46,172.99,182.53,194.27,202.00,176.05
