image_number,day0,day1,day2,day3,day4,day5
1,11605,2140231,1648577,1755189,1145628,1355536
2,7116,104280,1488871,1558233,1184790,1547348
3,13578,1690971,1605771,1725938,1559810,1789915
4,10966,1761307,1842975,1515152,1104572,1277127
5,10341,1698365,1856714,1943901,1595494,1817220
6,11967,2426030,1749617,1905302,1234572,1410158
7,16029,1658000,1775782,1912622,1677407,1843228
8,8512,1590202,1467801,1828513,958201,1154649
9,15271,2552828,1703949,2098995,1067857,1201494
10,9355,2683479,1606200,2347652,1159291,1754245
11,8055,1574126,1564593,1506862,1105587,1397926
12,9769,2447371,1797930,1696770,1330858,1397725
13,15407,1645670,1380172,1940717,1500777,1556271
14,11480,1347455,1685044,1225229,1117385,1157338
15,12130,1803205,2192308,1391756,1267843,1325278
16,13923,2801351,2402041,2299696,1354231,1917817
